,Tahun,Bulan,Hari,Jam,elevasi (m)
175545,2004,1,10,9,2.04
175546,2004,1,10,10,1.92
175547,2004,1,10,11,1.79
175548,2004,1,10,12,1.69
175549,2004,1,10,13,1.64
175550,2004,1,10,14,1.59
175551,2004,1,10,15,1.64
175552,2004,1,10,16,1.57
175553,2004,1,10,17,1.67
175554,2004,1,10,18,1.7
175555,2004,1,10,19,1.74
175556,2004,1,10,20,1.79
175557,2004,1,10,21,1.86
175558,2004,1,10,22,1.95
175559,2004,1,10,23,1.98
175560,2004,1,11,0,2.12
175561,2004,1,11,1,2.19
175562,2004,1,11,2,2.27
175563,2004,1,11,3,2.36
175564,2004,1,11,4,2.42
175565,2004,1,11,5,2.44
175566,2004,1,11,6,2.42
175567,2004,1,11,7,2.35
175568,2004,1,11,8,2.26
175569,2004,1,11,9,2.15
175570,2004,1,11,10,2.02
175571,2004,1,11,11,1.89
175572,2004,1,11,12,1.78
175573,2004,1,11,13,1.69
175574,2004,1,11,14,1.62
175575,2004,1,11,15,1.67
175576,2004,1,11,16,1.66
175577,2004,1,11,17,1.72
175578,2004,1,11,18,1.71
175579,2004,1,11,19,1.78
175580,2004,1,11,20,1.86
175581,2004,1,11,21,1.9
175582,2004,1,11,22,1.99
175583,2004,1,11,23,2.02
175584,2004,1,12,0,2.1
175585,2004,1,12,1,2.17
175586,2004,1,12,2,2.21
175587,2004,1,12,3,2.27
175588,2004,1,12,4,2.34
175589,2004,1,12,5,2.36
175590,2004,1,12,6,2.33
175591,2004,1,12,7,2.31
175592,2004,1,12,8,2.22
175593,2004,1,12,9,2.14
175594,2004,1,12,10,2.03
175595,2004,1,12,11,1.94
175596,2004,1,12,12,1.82
175597,2004,1,12,13,1.74
175598,2004,1,12,14,1.71
175599,2004,1,12,15,1.67
175600,2004,1,12,16,1.7
175601,2004,1,12,17,1.72
175602,2004,1,12,18,1.77
175603,2004,1,12,19,1.82
175604,2004,1,12,20,1.86
175605,2004,1,12,21,1.92
175606,2004,1,12,22,2.01
175607,2004,1,12,23,2.07
175608,2004,1,13,0,2.12
175609,2004,1,13,1,2.2
175610,2004,1,13,2,2.27
175611,2004,1,13,3,2.35
175612,2004,1,13,4,2.36
175613,2004,1,13,5,2.36
175614,2004,1,13,6,2.44
175615,2004,1,13,7,2.4
175616,2004,1,13,8,2.34
175617,2004,1,13,9,2.26
175618,2004,1,13,10,2.2
175619,2004,1,13,11,2.06
175620,2004,1,13,12,1.97
175621,2004,1,13,13,1.92
175622,2004,1,13,14,1.87
175623,2004,1,13,15,1.79
175624,2004,1,13,16,1.84
175625,2004,1,13,17,1.8
175626,2004,1,13,18,1.85
175627,2004,1,13,19,1.9
175628,2004,1,13,20,1.93
175629,2004,1,13,21,1.97
175630,2004,1,13,22,2.06
175631,2004,1,13,23,2.1
175632,2004,1,14,0,2.1
175633,2004,1,14,1,2.13
175634,2004,1,14,2,2.16
175635,2004,1,14,3,2.15
175636,2004,1,14,4,2.14
175637,2004,1,14,5,2.17
175638,2004,1,14,6,2.12
175639,2004,1,14,7,2.07
175640,2004,1,14,8,2.04
175641,2004,1,14,9,1.99
175642,2004,1,14,10,1.94
175643,2004,1,14,11,1.87
175644,2004,1,14,12,1.78
175645,2004,1,14,13,1.73
175646,2004,1,14,14,1.7
175647,2004,1,14,15,1.68
175648,2004,1,14,16,1.67
175649,2004,1,14,17,1.73
175650,2004,1,14,18,1.78
175651,2004,1,14,19,1.87
175652,2004,1,14,20,1.93
175653,2004,1,14,21,1.97
175654,2004,1,14,22,2.09
175655,2004,1,14,23,2.18
175656,2004,1,15,0,2.19
175657,2004,1,15,1,2.22
175658,2004,1,15,2,2.22
175659,2004,1,15,3,2.23
175660,2004,1,15,4,2.18
175661,2004,1,15,5,2.13
175662,2004,1,15,6,2.08
175663,2004,1,15,7,2.06
175664,2004,1,15,8,2.01
175665,2004,1,15,9,1.95
175666,2004,1,15,10,1.9
175667,2004,1,15,11,1.88
175668,2004,1,15,12,1.84
175669,2004,1,15,13,1.8
175670,2004,1,15,14,1.8
175671,2004,1,15,15,1.8
175672,2004,1,15,16,1.84
175673,2004,1,15,17,1.88
175674,2004,1,15,18,1.95
175675,2004,1,15,19,1.99
175676,2004,1,15,20,2.08
175677,2004,1,15,21,2.15
175678,2004,1,15,22,2.21
175679,2004,1,15,23,2.24
175680,2004,1,16,0,2.32
175681,2004,1,16,1,2.3
175682,2004,1,16,2,2.3
175683,2004,1,16,3,2.27
175684,2004,1,16,4,2.19
175685,2004,1,16,5,2.08
175686,2004,1,16,6,1.98
175687,2004,1,16,7,1.89
